DATE,IHLIDXUSTPRETA
2022-04-14,131.04
2022-04-15,130.59
2022-04-16,130.74
2022-04-17,131.05
2022-04-18,131.28
2022-04-19,131.52
2022-04-20,131.58
2022-04-21,131.98
2022-04-22,132.59
2022-04-23,133.21
2022-04-24,133.54
2022-04-25,133.86
2022-04-26,134.23
2022-04-27,134.51
2022-04-28,134.53
2022-04-29,134.39
2022-04-30,134.17
2022-05-01,134.76
2022-05-02,134.82
2022-05-03,134.87
2022-05-04,135.11
2022-05-05,135.24
2022-05-06,135.31
2022-05-07,135.35
2022-05-08,134.81
2022-05-09,135.06
2022-05-10,135.28
2022-05-11,135.41
2022-05-12,135.74
2022-05-13,136.02
2022-05-14,136.19
2022-05-15,136.63
2022-05-16,136.87
2022-05-17,137.07
2022-05-18,137.51
2022-05-19,137.66
2022-05-20,137.82
2022-05-21,138.08
2022-05-22,138.28
2022-05-23,138.3
2022-05-24,138.45
2022-05-25,138.42
2022-05-26,138.38
2022-05-27,138.36
2022-05-28,138.53
2022-05-29,138.59
2022-05-30,138.84
2022-05-31,138.86
2022-06-01,138.86
2022-06-02,138.98
2022-06-03,139.2
2022-06-04,139.22
2022-06-05,139.12
2022-06-06,139.04
2022-06-07,138.93
2022-06-08,138.8
2022-06-09,138.57
2022-06-10,138.03
2022-06-11,137.68
2022-06-12,137.47
2022-06-13,137.29
2022-06-14,137.47
2022-06-15,137.51
2022-06-16,137.59
2022-06-17,137.88
2022-06-18,138.18
2022-06-19,138.44
2022-06-20,138.69
2022-06-21,138.66
2022-06-22,139.09
2022-06-23,139.45
2022-06-24,139.81
2022-06-25,139.97
2022-06-26,140.22
2022-06-27,140.22
2022-06-28,140.47
2022-06-29,140.5
2022-06-30,140.5
2022-07-01,140.45
2022-07-02,140.31
2022-07-03,140.16
2022-07-04,140.18
2022-07-05,140.02
2022-07-06,139.72
2022-07-07,139.46
2022-07-08,139.18
2022-07-09,139.09
2022-07-10,139.01
2022-07-11,138.94
2022-07-12,138.8
2022-07-13,138.62
2022-07-14,138.42
2022-07-15,138.22
2022-07-16,138.01
2022-07-17,137.82
2022-07-18,137.72
2022-07-19,137.75
2022-07-20,137.74
2022-07-21,137.9
2022-07-22,138.27
2022-07-23,138.64
2022-07-24,139.08
2022-07-25,139.42
2022-07-26,139.75
2022-07-27,140.26
2022-07-28,140.59
2022-07-29,140.64
2022-07-30,140.78
2022-07-31,140.54
2022-08-01,140.24
2022-08-02,139.75
2022-08-03,139.28
2022-08-04,138.84
2022-08-05,138.61
2022-08-06,138.38
2022-08-07,138.25
2022-08-08,138.23
2022-08-09,138.18
2022-08-10,138.09
2022-08-11,137.97
2022-08-12,137.82
2022-08-13,137.6
2022-08-14,137.53
2022-08-15,137.37
2022-08-16,137.27
2022-08-17,137.29
2022-08-18,137.35
2022-08-19,137.38
2022-08-20,137.32
2022-08-21,137.21
2022-08-22,137.15
2022-08-23,137.27
2022-08-24,137.29
2022-08-25,137.37
2022-08-26,137.41
2022-08-27,137.56
2022-08-28,137.59
2022-08-29,137.55
2022-08-30,137.55
2022-08-31,137.62
2022-09-01,137.52
2022-09-02,137.33
2022-09-03,137.15
2022-09-04,137.09
2022-09-05,137.08
2022-09-06,136.89
2022-09-07,136.54
2022-09-08,136.29
2022-09-09,136.16
2022-09-10,136.02
2022-09-11,135.72
2022-09-12,135.43
2022-09-13,135.36
2022-09-14,135.26
2022-09-15,135.12
2022-09-16,135.09
2022-09-17,134.99
2022-09-18,135.04
2022-09-19,135.02
2022-09-20,134.86
2022-09-21,134.5
2022-09-22,134.47
2022-09-23,134.5
2022-09-24,134.7
2022-09-25,134.81
2022-09-26,135.12
2022-09-27,135.43
2022-09-28,136.01
2022-09-29,136.39
2022-09-30,136.38
2022-10-01,136.13
2022-10-02,136.15
2022-10-03,136.04
2022-10-04,135.82
2022-10-05,135.8
2022-10-06,135.65
2022-10-07,135.7
2022-10-08,136.04
2022-10-09,136.16
2022-10-10,136.28
2022-10-11,136.45
2022-10-12,136.43
2022-10-13,136.73
2022-10-14,136.9
2022-10-15,136.97
2022-10-16,137.18
2022-10-17,137.52
2022-10-18,137.91
2022-10-19,138.17
2022-10-20,138.25
2022-10-21,138.4
2022-10-22,138.32
2022-10-23,138.18
2022-10-24,138.07
2022-10-25,137.96
2022-10-26,137.92
2022-10-27,137.96
2022-10-28,137.98
2022-10-29,138.54
2022-10-30,139.07
2022-10-31,139.48
2022-11-01,139.68
2022-11-02,139.83
2022-11-03,139.98
2022-11-04,140.48
2022-11-05,140.63
2022-11-06,140.84
2022-11-07,140.99
2022-11-08,141.45
2022-11-09,142.13
2022-11-10,142.71
2022-11-11,142.98
2022-11-12,143.29
2022-11-13,143.58
2022-11-14,143.92
2022-11-15,144.11
2022-11-16,144.29
2022-11-17,144.49
2022-11-18,144.62
2022-11-19,144.75
2022-11-20,144.94
2022-11-21,145.18
2022-11-22,145.36
2022-11-23,145.54
2022-11-24,145.68
2022-11-25,145.91
2022-11-26,146.06
2022-11-27,146.04
2022-11-28,145.92
2022-11-29,145.86
2022-11-30,145.84
2022-12-01,145.67
2022-12-02,145.47
2022-12-03,145.02
2022-12-04,144.89
2022-12-05,144.88
