DATE,IHLIDXUSTPNURS
2023-04-11,156.15
2023-04-12,156.33
2023-04-13,156.44
2023-04-14,156.49
2023-04-15,156.46
2023-04-16,156.56
2023-04-17,156.5
2023-04-18,156.44
2023-04-19,155.26
2023-04-20,155.12
2023-04-21,155.11
2023-04-22,155.35
2023-04-23,155.17
2023-04-24,155.17
2023-04-25,155.09
2023-04-26,156.01
2023-04-27,155.89
2023-04-28,155.59
2023-04-29,155.22
2023-04-30,154.93
2023-05-01,154.59
2023-05-02,154.45
2023-05-03,154.21
2023-05-04,153.94
2023-05-05,153.93
2023-05-06,154.13
2023-05-07,154.38
2023-05-08,154.55
2023-05-09,154.52
2023-05-10,154.69
2023-05-11,154.78
2023-05-12,154.37
2023-05-13,154.11
2023-05-14,153.9
2023-05-15,153.72
2023-05-16,153.52
2023-05-17,153.53
2023-05-18,153.68
2023-05-19,153.97
2023-05-20,154.11
2023-05-21,154.22
2023-05-22,154.34
2023-05-23,154.2
2023-05-24,153.91
2023-05-25,153.63
2023-05-26,153.55
2023-05-27,153.27
2023-05-28,152.91
2023-05-29,152.64
2023-05-30,152.52
2023-05-31,152.27
2023-06-01,151.9
2023-06-02,151.81
2023-06-03,151.54
2023-06-04,151.4
2023-06-05,151.26
2023-06-06,151.21
2023-06-07,151.45
2023-06-08,151.74
2023-06-09,151.8
2023-06-10,152.01
2023-06-11,152.16
2023-06-12,152.31
2023-06-13,152.53
2023-06-14,152.51
2023-06-15,152.36
2023-06-16,152.19
2023-06-17,152.1
2023-06-18,152.04
2023-06-19,151.89
2023-06-20,151.76
2023-06-21,151.69
2023-06-22,151.79
2023-06-23,151.84
2023-06-24,151.6
2023-06-25,151.48
2023-06-26,151.47
2023-06-27,151.44
2023-06-28,151.45
2023-06-29,151.48
2023-06-30,151.44
2023-07-01,151.66
2023-07-02,151.71
2023-07-03,151.68
2023-07-04,151.56
2023-07-05,151.49
2023-07-06,151.27
2023-07-07,151.28
2023-07-08,151.39
2023-07-09,151.45
2023-07-10,151.52
2023-07-11,151.65
2023-07-12,151.81
2023-07-13,151.72
2023-07-14,151.85
2023-07-15,151.84
2023-07-16,151.88
2023-07-17,151.96
2023-07-18,151.93
