DATE,IHLIDXUSTPMARK
2022-05-29,163.83
2022-05-30,163.46
2022-05-31,162.86
2022-06-01,162.5
2022-06-02,162.28
2022-06-03,162.04
2022-06-04,161.86
2022-06-05,161.73
2022-06-06,161.68
2022-06-07,161.88
2022-06-08,162.1
2022-06-09,162.24
2022-06-10,162.26
2022-06-11,162.41
2022-06-12,162.2
2022-06-13,161.89
2022-06-14,161.62
2022-06-15,160.95
2022-06-16,160.16
2022-06-17,159.49
2022-06-18,158.64
2022-06-19,158.22
2022-06-20,157.82
2022-06-21,157.21
2022-06-22,156.86
2022-06-23,156.63
2022-06-24,156.47
2022-06-25,156.15
2022-06-26,155.88
2022-06-27,155.31
2022-06-28,154.94
2022-06-29,154.94
2022-06-30,154.89
2022-07-01,154.82
2022-07-02,155.16
2022-07-03,155.33
2022-07-04,155.35
2022-07-05,155.78
2022-07-06,155.62
2022-07-07,155.4
2022-07-08,155.16
2022-07-09,154.53
2022-07-10,153.96
2022-07-11,153.79
2022-07-12,153.14
2022-07-13,152.57
2022-07-14,151.96
2022-07-15,151.4
2022-07-16,150.87
2022-07-17,150.29
2022-07-18,149.21
2022-07-19,148.19
2022-07-20,147.82
2022-07-21,147.43
2022-07-22,147.1
2022-07-23,146.64
2022-07-24,146.43
2022-07-25,146.54
2022-07-26,146.73
2022-07-27,146.37
2022-07-28,145.95
2022-07-29,145.47
2022-07-30,145.37
2022-07-31,145.0
2022-08-01,144.75
2022-08-02,144.2
2022-08-03,143.98
2022-08-04,143.82
2022-08-05,143.61
2022-08-06,143.17
2022-08-07,142.68
2022-08-08,142.32
2022-08-09,142.18
2022-08-10,141.67
2022-08-11,141.35
2022-08-12,140.96
2022-08-13,140.51
2022-08-14,140.42
2022-08-15,140.3
2022-08-16,140.07
2022-08-17,139.91
2022-08-18,139.74
2022-08-19,139.69
2022-08-20,139.89
2022-08-21,139.82
2022-08-22,139.8
2022-08-23,139.54
2022-08-24,139.51
2022-08-25,139.47
2022-08-26,139.31
2022-08-27,139.04
2022-08-28,138.73
2022-08-29,138.31
2022-08-30,138.14
2022-08-31,138.08
2022-09-01,137.96
2022-09-02,137.84
2022-09-03,137.79
2022-09-04,137.85
2022-09-05,137.83
2022-09-06,137.88
2022-09-07,137.66
2022-09-08,137.55
2022-09-09,137.54
2022-09-10,137.53
2022-09-11,137.31
2022-09-12,137.25
2022-09-13,137.21
2022-09-14,137.13
2022-09-15,137.01
2022-09-16,136.94
2022-09-17,136.9
2022-09-18,136.91
2022-09-19,136.72
2022-09-20,136.5
2022-09-21,136.53
2022-09-22,136.32
2022-09-23,136.03
2022-09-24,135.68
2022-09-25,135.32
2022-09-26,135.16
2022-09-27,135.11
2022-09-28,134.69
2022-09-29,134.47
2022-09-30,134.19
2022-10-01,133.99
2022-10-02,133.86
2022-10-03,133.69
2022-10-04,133.28
2022-10-05,133.06
2022-10-06,132.67
2022-10-07,132.28
2022-10-08,131.88
2022-10-09,131.36
2022-10-10,130.88
2022-10-11,130.5
2022-10-12,129.89
2022-10-13,129.44
2022-10-14,129.09
2022-10-15,128.6
2022-10-16,128.39
2022-10-17,128.15
2022-10-18,127.97
2022-10-19,127.87
2022-10-20,127.79
2022-10-21,127.67
2022-10-22,127.22
2022-10-23,126.9
2022-10-24,126.61
2022-10-25,126.29
2022-10-26,126.06
2022-10-27,125.74
2022-10-28,125.34
2022-10-29,125.29
2022-10-30,124.94
2022-10-31,124.59
2022-11-01,124.11
2022-11-02,123.5
2022-11-03,122.94
2022-11-04,122.52
2022-11-05,122.24
2022-11-06,121.95
2022-11-07,121.66
2022-11-08,121.59
2022-11-09,121.51
2022-11-10,121.47
2022-11-11,121.28
2022-11-12,121.12
2022-11-13,120.94
2022-11-14,120.74
2022-11-15,120.52
2022-11-16,120.35
2022-11-17,120.16
2022-11-18,120.05
2022-11-19,119.69
2022-11-20,119.52
2022-11-21,119.32
2022-11-22,119.14
2022-11-23,118.9
2022-11-24,118.75
2022-11-25,118.59
2022-11-26,118.64
2022-11-27,118.5
2022-11-28,118.43
2022-11-29,118.35
2022-11-30,118.29
2022-12-01,118.05
2022-12-02,117.77
2022-12-03,117.58
2022-12-04,117.31
2022-12-05,117.06
2022-12-06,116.69
2022-12-07,116.32
2022-12-08,116.01
2022-12-09,115.86
2022-12-10,115.49
2022-12-11,115.24
2022-12-12,114.98
2022-12-13,114.85
2022-12-14,114.73
2022-12-15,114.58
2022-12-16,114.28
2022-12-17,114.04
2022-12-18,113.8
2022-12-19,113.52
2022-12-20,113.09
2022-12-21,112.76
2022-12-22,112.5
2022-12-23,112.26
2022-12-24,112.08
2022-12-25,111.79
2022-12-26,111.59
2022-12-27,111.48
2022-12-28,111.28
2022-12-29,111.24
2022-12-30,111.37
2022-12-31,111.65
2023-01-01,112.06
2023-01-02,112.52
2023-01-03,113.11
2023-01-04,113.73
2023-01-05,114.27
2023-01-06,114.69
2023-01-07,114.98
2023-01-08,115.24
2023-01-09,115.35
2023-01-10,115.36
2023-01-11,115.36
2023-01-12,115.34
2023-01-13,115.27
2023-01-14,114.99
2023-01-15,114.72
2023-01-16,114.5
2023-01-17,114.22
2023-01-18,113.94
2023-01-19,113.59
2023-01-20,113.2
2023-01-21,112.91
2023-01-22,112.61
2023-01-23,112.21
2023-01-24,111.81
2023-01-25,111.47
2023-01-26,111.14
2023-01-27,110.78
2023-01-28,110.47
2023-01-29,110.12
2023-01-30,109.86
2023-01-31,109.56
2023-02-01,109.25
2023-02-02,108.89
2023-02-03,108.74
2023-02-04,108.69
2023-02-05,108.61
2023-02-06,108.52
2023-02-07,108.43
2023-02-08,108.25
2023-02-09,108.14
2023-02-10,107.9
2023-02-11,107.58
2023-02-12,107.23
2023-02-13,106.89
2023-02-14,106.46
2023-02-15,106.2
2023-02-16,105.87
2023-02-17,105.56
2023-02-18,104.89
2023-02-19,104.56
2023-02-20,104.26
2023-02-21,104.01
2023-02-22,103.72
2023-02-23,103.58
2023-02-24,103.26
2023-02-25,103.3
2023-02-26,102.94
2023-02-27,102.55
2023-02-28,102.17
2023-03-01,101.38
2023-03-02,100.79
2023-03-03,100.37
2023-03-04,99.94
2023-03-05,99.71
2023-03-06,99.41
2023-03-07,99.05
2023-03-08,98.99
2023-03-09,98.74
2023-03-10,98.87
2023-03-11,99.11
2023-03-12,99.19
2023-03-13,99.52
2023-03-14,99.93
2023-03-15,100.49
2023-03-16,100.78
2023-03-17,100.93
2023-03-18,101.01
2023-03-19,101.12
